	f3bc810a-edc7-4412-9e09-006c0bcf2550
	tumor
AC006357.1	0
AC006362.1	0
AC006363.1	0
AC006366.1	0
AC006369.1	0.766798393
AC006369.2	0
AC006372.1	0
AC006372.2	0
AC006372.3	0.012972509
AC006372.4	0
AC006378.1	0.165175126
AC006378.2	0.010606965
AC006380.1	0
AC006386.1	0
AC006386.2	0.06468681
AC006387.1	0
AC006390.1	0
AC006427.1	0
AC006435.1	0
AC006435.2	0.106413472
AC006435.3	0
AC006435.4	0
AC006435.5	0
AC006441.1	0
AC006441.2	0
AC006441.3	0
AC006441.4	0.053434069
AC006441.5	0
AC006445.1	0.129693062
AC006445.2	0
AC006449.1	0
AC006449.2	0.378271429
AC006449.3	0
AC006449.5	0.137698424
