	88d2f686-ae1a-4375-93d9-febc927f0082
	tumor
AC006150.1	0
AC006153.1	0
AC006157.1	0
AC006158.1	0
AC006159.1	0.142332694
AC006159.2	0
AC006160.1	0.366269465
AC006195.1	0
AC006197.1	0
AC006199.1	0
AC006205.1	0
AC006205.2	0.073646675
AC006206.1	0.016220968
AC006206.2	3.579347794
AC006210.1	0
AC006210.2	0
AC006213.1	0.169977235
AC006213.2	0.38831578
AC006213.3	0.212535473
AC006213.4	0.693254508
AC006213.5	0.572296039
AC006213.6	0.092027504
AC006236.1	0
AC006237.1	0.114459208
AC006238.1	0.102884681
AC006249.1	0
AC006252.1	0.898208497
AC006254.1	0.230549663
AC006254.2	0
AC006254.3	0
AC006262.1	0.418257298
AC006262.2	0
AC006262.3	0
AC006262.4	0.768397479
AC006270.1	0
